"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"K9DX76HY","journalArticle","2020","Amaya, D. J.","Physical drivers of the summer 2019 North Pacific marine heatwave","Nature Communications","","","","https://urldefense.com/v3/__https://doi.org/10.1038/s41467-020-15820-w__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypp6U3KvM$","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","11","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0471; AR2020 Type: 10.1038/s41467-020-15820-w","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBRGQYAM","thesis","2020","Kelly, T. B.; Stukel, Mike","Not just sinking particles: Export and the biological carbon pump in a three-dimensional ocean driven by circulation and vertical migration","","","","","","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","Florida State University","Tallahassee","","","","","","","","Accession Number: CCE LTER Contribution #0492 Volume: Ph.D.","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZZEAZII","journalArticle","2020","Kahru, M.","Satellite estimation of carbon export by sinking particles in the California Current calibrated with sediment trap data","Deep-Sea Research II","","","","https://urldefense.com/v3/__https://doi.org/10.1016/j.dsr2.2019.104639__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp_A-lHlE$","We evaluate a recent region-specific model of export production (Kelly et al., 2018) and some similar fits to in situ data for the California Current Ecosystem using satellite data. The model is a simple linear function of net primary productivity (NPP): Export = 0.08 × NPP + 72 where EF is export flux in mg C m−2 d−1 . We confirm that contrary to several global algorithms export efficiency (e-ratio = export/primary productivity) is negatively correlated with net primary productivity. We find that linear models with a steeper slope of EF relative to NPP produce better estimates of the variability range. Choice of the EF model parameterization can more than double the estimate of temporal variability (standard deviation) in satellite-derived EF time series. The best estimates of EF were obtained when using average NPP during a preceding period of ~7–8 days. This is in contrast with NPP where the best satellite estimates of in situ NPP were obtained using same day satellite data and the coefficient of determination was monotonically decreasing with increasing time lag. We also find that there is substantial unexplained variability in EF that cannot be explained by existing models.","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","173","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0443; AR2019 Type: 10.1016/j.dsr2.2019.104639","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HC4WBR38","journalArticle","2020","Jacox, M. G.","Seasonal-to-interannual prediction of U.S. coastal marine ecosystems: Forecast methods, mechanisms of predictability, and priority developments","Progress in Oceanography","","","","https://urldefense.com/v3/__https://doi.org/10.1016/j.pocean.2020.102307__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yps3xHmeM$","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","183","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0483; AR2020 Type: 10.1016/J.pocean.2020.102307","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2QRUM5A","journalArticle","2019","White, M. E.","Recent increases in water column denitrification in the seasonally suboxic bottom waters of the Santa Barbara Basin","Geophysical Research Letters","","","","https://urldefense.com/v3/__https://doi.org/10.1029/2019GL082075__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypjo19l5M$","Denitrification in the anoxic sediments of the Santa Barbara Basin has been well documented in the historic and modern record, but the regulation of and frequency with which denitrification occurs in the overlying water column are less understood. Since 2004, the magnitude and speciation of redox active nitrogen species in bottom waters have changed markedly. Most notable are periods of decreased nitrate and increased nitrite concentrations. Here we examine these changes in nitrogen cycling as recorded by the stable isotopes of dissolved nitrate from 2010–2016. When compared to previous studies, our data identify an increase in water column denitrification in the bottom waters of the basin. Observations from inside the basin as well as data from the wider California Current Ecosystem implicate a long‐term trend of decreasing oxygen concentrations as the driver for these observed changes, with ramifications for local benthic communities and regional nitrogen loss.","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","6786-6795","","12","46","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0466; AR2020 Type: 10.1029/2019GL082075","","","","CCE; published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KE5DYKJL","journalArticle","2020","Brandon, J. A.","Patterns of suspended and salp-ingested microplastic debris in the North Pacific investigated with epifluorescence microscopy","Limnol. Oceanogr. Letters","","","","","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","46-53","","","5","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0467; AR2020 Type: 10.1002/lol2.10127","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNM3TY7I","journalArticle","2019","Stukel, M. R.","Predicting primary production in the southern California Current Ecosystem from chlorophyll, nutrient concentrations, and irradiance","BioRXIV","","","","https://urldefense.com/v3/__https://doi.org/10.1101/590240__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypMuuWXNQ$","","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0439; AR2019","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JU5HG9KU","journalArticle","2019","Coale, T. H.","Reduction-dependent siderophore assimilation in a model pennate diatom","PNAS","","","","","","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","23609–23617","","47","116","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0488; AR2020 Type: 10.1073/pnas.1907234116","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74NT3V99","journalArticle","2018","Taylor, A. G. and M. R. Landry","Phytoplankton biomass and size structure across trophic gradients in the southern California Current and adjacent ocean ecosystems","Mar Ecol Prog Series","","","","","","2018","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","1-17","","","592","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0292; AR2018 Type: 10.3354/meps12526","","","","Aug_CalCOFI; CCE; P0605; P0704; P0810; Process_cruise; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NANPY48Q","journalArticle","2018","Stukel, M. R.","Nitrogen and Isotope Flows Through the Costa Rica Dome Upwelling Ecosystem: The Crucial Mesozooplankton Role in Export Flux","Global Biogeochem. Cycles","","","","https://urldefense.com/v3/__https://doi.org/10.1029/2018GB005968__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypa8nyQwU$","The Costa Rica Dome (CRD) is an open-ocean upwelling ecosystem, with high biomasses ofpicophytoplankton (especiallySynechococcus), mesozooplankton, and higher trophic levels. To elucidatethe food web pathways supporting the trophic structure and carbon export in this unique ecosystem, weused Markov Chain Monte Carlo techniques to assimilate data from four independent realizations ofδ15N andplanktonic rate measurements from the CRD into steady state, multicompartment ecosystem box models(linear inverse models). Model results present well-constrained snapshots of ecosystem nitrogen and stableisotopefluxes. New production is supported by upwelled nitrate, not nitrogenfixation. Protistivory (ratherthan herbivory) was the most important feeding mode for mesozooplankton, which rely heavily onmicrozooplankton prey. Mesozooplankton play a central role in vertical nitrogen export, primarily throughactive transport of nitrogen consumed in the surface layer and excreted at depth, which comprised anaverage 36–46% of total export. Detritus or aggregate feeding is also an important mode of resourceacquisition by mesozooplankton and regeneration of nutrients within the euphotic zone. As a consequence,the ratio of passively sinking particle export to phytoplankton production is very low in the CRD. Comparisonsto similar models constrained with data from the nearby equatorial Pacific demonstrate that the dominant roleof vertical migrators to the biological pump is a unique feature of the CRD. However, both regions showefficient nitrogen transfer from mesozooplankton to higher trophic levels (as expected for regions with largefish, cetacean, and seabird populations) despite the dominance of protists as major grazers of phytoplankton.","2018","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","1815-1832","","","32","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0438; AR2019? Type: 10.1029/2018GB005968","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCEJAC4V","journalArticle","2018","Stephens, B. M.","Nonsinking organic matter production in the California Current","Global Biogeochemical Cycles","","","","https://urldefense.com/v3/__https://doi.org/10.1029/2018GB005930__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypEP9ZdhU$","Productive eastern boundary upwelling systems such as the California Current Ecosystem (CCE) are important regions for supporting both local and remote food webs. Several studies have reported on the temporal and spatial variability of primary production and gravitational export in the CCE. However, few studies have quantified the partitioning of net primary and new production into other reservoirs of detrital organic matter. This study tested the hypothesis that nonsinking detrital reservoirs are an exportable reservoir of new production in the CCE with samples collected by the California Cooperative Oceanic Fisheries Investigation survey between 2008 and 2010. Water column gradients in nitrate (NO3) and total organic carbon (TOC; which excludes sinking particulate organic carbon) were used to estimate potential rates of new production (PNew) and TOC production (PTOC), respectively. The PTOC:PNew varied between 0.16 and 0.56 and often increased with indicators of enhanced autotrophic production. At times, surface stratification was also correlated with elevated PTOC:PNew. In the most productive, inshore region, PTOC exceeded previously reported sinking export rates, which identified TOC as a quantitatively significant repository of exportable carbon in the CCE. However the sum of PTOC and sinking export for these productive regions was less than both PNew and oxygen-based estimates of net community production. These results imply that nonsinking reservoirs alone are not sufficient to explain observed imbalances between production and export for the most productive CCE regions.","2018","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","32","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0424; AR2019 Type: 10.1029/2018GB005930","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X7MNG5D9","magazineArticle","2018","Scientia","New Perspectives on Marine Ecology: Technology Informs Oceanic Carbon Models.  Mark D. Ohman","https://urldefense.com/v3/__http://www.scientia.global__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypMe0hzl0$","","","","https://urldefense.com/v3/__https://doi.org/10.26320/SCIENTIA266__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypxr9HRKk$","The world’s oceans are responsible for absorbing large amounts of carbon dioxide from the atmosphere, helping to mitigate its warming effect on the planet. However, the way in which marine ecosystems respond to temperature changes can impact the ocean’s ability to capture carbon, disrupting this global carbon cycle. Dr Mark D. Ohman and his team at the Scripps Institution of Oceanography, University of California, San Diego use advanced technologies to investigate how marine ecosystems respond to our warming climate. Their research is helping us to understand ecological responses to ocean warming, and to predict what the future holds.","2018","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0427; AR2019 Type: 10.26320/SCIENTIA266","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87T483T8","thesis","2018","Stephens, B.; Aluwihare, Lihini","Nitrogen Cycling in the Euphotic Zone of the California Current","","","","","","","2018","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","University of California","San Diego, CA","","","Ph.D.","","","","","Accession Number: CCE LTER Contribution #0399; RR2018, AR2018 Volume: Ph.D.","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
